name,aliases,dosage_forms,typical_dosage,commonly_used_for,warnings,category,key_warning
Paracetamol,"Acetaminophen,Calpol,Dolo,Crocin",Tablet/Syrup/Suppository,500mg–1g every 4–6 hours (max 4g/day),Fever and mild to moderate pain,Do not exceed 4g per day. Avoid alcohol. Use caution in liver disease.,pain_relief,avoid_alcohol
Ibuprofen,"Brufen,Advil,Nurofen",Tablet/Syrup/Gel,200mg–400mg every 6–8 hours with food (max 1200mg/day),"Pain, fever, and inflammation","Take with food. Avoid in kidney disease, peptic ulcer, or late pregnancy. May increase blood pressure.",pain_relief,take_with_food
Amoxicillin,"Amoxil,Novamox,Trimox",Capsule/Syrup,250mg–500mg every 8 hours for 5–10 days,"Bacterial infections (ear, throat, chest, urinary tract)",Complete the full course. Inform doctor of penicillin allergy. May cause diarrhoea.,antibiotic,consult_doctor
Metformin,"Glucophage,Glycomet",Tablet,500mg–1000mg twice daily with meals,Type 2 diabetes (to lower blood sugar),Take with meals to reduce stomach upset. Avoid alcohol. Stop before contrast dye procedures.,diabetes,avoid_alcohol
Atorvastatin,"Lipitor,Storvas,Atorva",Tablet,10mg–80mg once daily at night,High cholesterol and prevention of heart disease,Report unexplained muscle pain immediately. Avoid grapefruit juice. Inform doctor if pregnant.,cholesterol,avoid_pregnancy
Amlodipine,"Norvasc,Amlong,Stamlo",Tablet,5mg–10mg once daily,High blood pressure and chest pain (angina),May cause ankle swelling and flushing. Do not stop suddenly without doctor advice.,high_blood_pressure,do_not_stop_suddenly
Omeprazole,"Prilosec,Omez,Ocid",Capsule/Tablet,20mg–40mg once daily before meals,"Acidity, GERD, stomach ulcers",Take 30 minutes before eating. Long-term use may reduce magnesium and B12 levels.,acidity,consult_doctor
Cetirizine,"Zyrtec,Alerid,Cetzine,Okacet",Tablet/Syrup,10mg once daily,"Allergic rhinitis, hives, and itching",May cause drowsiness. Avoid driving until you know how it affects you. Avoid alcohol.,allergy,drowsiness
Azithromycin,"Zithromax,Azee,Azithral",Tablet/Syrup,500mg once daily for 3 days (or as directed),"Bacterial infections (chest, skin, ear, throat)",Complete the full course. May cause stomach upset. Rare risk of abnormal heart rhythm.,antibiotic,consult_doctor
Losartan,"Cozaar,Repace,Losartan Potassium",Tablet,25mg–100mg once daily,High blood pressure and kidney protection in diabetes,Avoid potassium supplements unless directed. Do not use in pregnancy. Monitor kidney function.,high_blood_pressure,avoid_pregnancy
